web-scraper-order,web-scraper-start-url,judul,tahun,durasi,age,rate
1718454606-101,https://www.imdb.com/chart/top/?ref_=nv_mv_250,101. The Apartment,1960,2h 5m,R,8.3 (198K)
1718454606-102,https://www.imdb.com/chart/top/?ref_=nv_mv_250,102. Incendies,2010,2h 11m,Approved,8.3 (203K)
1718454606-103,https://www.imdb.com/chart/top/?ref_=nv_mv_250,103. North by Northwest,1959,2h 16m,A,8.3 (348K)
1718454606-104,https://www.imdb.com/chart/top/?ref_=nv_mv_250,104. Citizen Kane,1941,1h 59m,Passed,8.3 (468K)
1718454606-105,https://www.imdb.com/chart/top/?ref_=nv_mv_250,105. M - Eine Stadt sucht einen Mörder,1931,1h 57m,18+,8.3 (169K)
1718454606-106,https://www.imdb.com/chart/top/?ref_=nv_mv_250,106. Scarface,1983,2h 50m,Approved,8.3 (922K)
1718454606-107,https://www.imdb.com/chart/top/?ref_=nv_mv_250,107. Double Indemnity,1944,1h 47m,PG,8.3 (168K)
1718454606-108,https://www.imdb.com/chart/top/?ref_=nv_mv_250,108. Vertigo,1958,2h 8m,D,8.3 (429K)
1718454606-109,https://www.imdb.com/chart/top/?ref_=nv_mv_250,109. Full Metal Jacket,1987,1h 56m,R,8.3 (794K)
1718454606-110,https://www.imdb.com/chart/top/?ref_=nv_mv_250,110. Le fabuleux destin d'Amélie Poulain,2001,2h 2m,21,8.3 (797K)
1718454606-111,https://www.imdb.com/chart/top/?ref_=nv_mv_250,111. Heat,1995,2h 50m,SU,8.3 (723K)
1718454606-112,https://www.imdb.com/chart/top/?ref_=nv_mv_250,112. Up,2009,1h 36m,R,8.3 (1.1M)
1718454606-113,https://www.imdb.com/chart/top/?ref_=nv_mv_250,113. A Clockwork Orange,1971,2h 16m,Approved,8.3 (885K)
1718454606-114,https://www.imdb.com/chart/top/?ref_=nv_mv_250,114. To Kill a Mockingbird,1962,2h 9m,PG-13,8.3 (334K)
1718454606-115,https://www.imdb.com/chart/top/?ref_=nv_mv_250,115. Jodaeiye Nader az Simin,2011,2h 3m,PG,8.3 (260K)
1718454606-116,https://www.imdb.com/chart/top/?ref_=nv_mv_250,116. The Sting,1973,2h 9m,PG-13,8.3 (281K)
1718454606-117,https://www.imdb.com/chart/top/?ref_=nv_mv_250,117. Indiana Jones and the Last Crusade,1989,2h 7m,20+,8.2 (814K)
1718454606-118,https://www.imdb.com/chart/top/?ref_=nv_mv_250,118. Die Hard,1988,2h 12m,PG,8.2 (950K)
1718454606-119,https://www.imdb.com/chart/top/?ref_=nv_mv_250,119. Taare Zameen Par,2007,2h 42m,Not Rated,8.3 (208K)
1718454606-120,https://www.imdb.com/chart/top/?ref_=nv_mv_250,120. Metropolis,1927,2h 33m,17+,8.3 (186K)
1718454606-121,https://www.imdb.com/chart/top/?ref_=nv_mv_250,121. Snatch,2000,1h 44m,21,8.2 (915K)
1718454606-122,https://www.imdb.com/chart/top/?ref_=nv_mv_250,122. L.A. Confidential,1997,2h 18m,13+,8.2 (621K)
1718454606-123,https://www.imdb.com/chart/top/?ref_=nv_mv_250,123. 1917,2019,1h 59m,17+,8.2 (682K)
1718454606-124,https://www.imdb.com/chart/top/?ref_=nv_mv_250,124. Hamilton,2020,2h 40m,Not Rated,8.3 (115K)
1718454606-125,https://www.imdb.com/chart/top/?ref_=nv_mv_250,125. Ladri di biciclette,1948,1h 29m,D,8.3 (176K)
1718454606-126,https://www.imdb.com/chart/top/?ref_=nv_mv_250,126. Taxi Driver,1976,1h 54m,R,8.2 (926K)
1718454606-127,https://www.imdb.com/chart/top/?ref_=nv_mv_250,127. Der Untergang,2004,2h 36m,13+,8.2 (377K)
1718454606-128,https://www.imdb.com/chart/top/?ref_=nv_mv_250,128. Dangal,2016,2h 41m,R,8.3 (212K)
1718454606-129,https://www.imdb.com/chart/top/?ref_=nv_mv_250,129. Per qualche dollaro in più,1965,2h 12m,D,8.2 (276K)
1718454606-130,https://www.imdb.com/chart/top/?ref_=nv_mv_250,130. Batman Begins,2005,2h 20m,21+,8.2 (1.6M)
1718454606-131,https://www.imdb.com/chart/top/?ref_=nv_mv_250,131. The Wolf of Wall Street,2013,3h,Approved,8.2 (1.6M)
1718454606-132,https://www.imdb.com/chart/top/?ref_=nv_mv_250,132. Some Like It Hot,1959,2h 1m,13+,8.2 (285K)
1718454606-133,https://www.imdb.com/chart/top/?ref_=nv_mv_250,133. Green Book,2018,2h 10m,Passed,8.2 (579K)
1718454606-134,https://www.imdb.com/chart/top/?ref_=nv_mv_250,134. The Kid,1921,1h 8m,13+,8.2 (135K)
1718454606-135,https://www.imdb.com/chart/top/?ref_=nv_mv_250,135. The Father,2020,1h 37m,Approved,8.2 (195K)
1718454606-136,https://www.imdb.com/chart/top/?ref_=nv_mv_250,136. Judgment at Nuremberg,1961,2h 59m,21,8.3 (86K)
1718454606-137,https://www.imdb.com/chart/top/?ref_=nv_mv_250,137. The Truman Show,1998,1h 43m,Approved,8.2 (1.2M)
1718454606-138,https://www.imdb.com/chart/top/?ref_=nv_mv_250,138. All About Eve,1950,2h 18m,D,8.2 (139K)
1718454606-139,https://www.imdb.com/chart/top/?ref_=nv_mv_250,139. Shutter Island,2010,2h 18m,SU,8.2 (1.5M)
1718454606-140,https://www.imdb.com/chart/top/?ref_=nv_mv_250,140. Top Gun: Maverick,2022,2h 10m,18+,8.2 (709K)
1718454606-141,https://www.imdb.com/chart/top/?ref_=nv_mv_250,141. There Will Be Blood,2007,2h 38m,21+,8.2 (644K)
1718454606-142,https://www.imdb.com/chart/top/?ref_=nv_mv_250,142. Casino,1995,2h 58m,16+,8.2 (567K)
1718454606-143,https://www.imdb.com/chart/top/?ref_=nv_mv_250,143. Jurassic Park,1993,2h 7m,R,8.2 (1.1M)
1718454606-144,https://www.imdb.com/chart/top/?ref_=nv_mv_250,144. Ran,1985,2h 40m,17+,8.2 (137K)
1718454606-145,https://www.imdb.com/chart/top/?ref_=nv_mv_250,145. The Sixth Sense,1999,1h 47m,R,8.2 (1.1M)
1718454606-146,https://www.imdb.com/chart/top/?ref_=nv_mv_250,146. El laberinto del fauno,2006,1h 58m,R,8.2 (705K)
1718454606-147,https://www.imdb.com/chart/top/?ref_=nv_mv_250,147. Unforgiven,1992,2h 10m,21,8.2 (438K)
1718454606-148,https://www.imdb.com/chart/top/?ref_=nv_mv_250,148. No Country for Old Men,2007,2h 2m,17+,8.2 (1.1M)
1718454606-149,https://www.imdb.com/chart/top/?ref_=nv_mv_250,149. A Beautiful Mind,2001,2h 15m,D,8.2 (991K)
1718454606-150,https://www.imdb.com/chart/top/?ref_=nv_mv_250,150. The Thing,1982,1h 49m,21+,8.2 (470K)
1718454606-151,https://www.imdb.com/chart/top/?ref_=nv_mv_250,151. Kill Bill: Vol. 1,2003,1h 51m,Approved,8.2 (1.2M)
1718454606-152,https://www.imdb.com/chart/top/?ref_=nv_mv_250,152. The Treasure of the Sierra Madre,1948,2h 6m,Not Rated,8.2 (133K)
1718454606-153,https://www.imdb.com/chart/top/?ref_=nv_mv_250,153. Yôjinbô,1961,1h 50m,PG,8.2 (132K)
1718454606-154,https://www.imdb.com/chart/top/?ref_=nv_mv_250,154. Monty Python and the Holy Grail,1975,1h 31m,Approved,8.2 (572K)
1718454606-155,https://www.imdb.com/chart/top/?ref_=nv_mv_250,155. The Great Escape,1963,2h 52m,R,8.2 (260K)
1718454606-156,https://www.imdb.com/chart/top/?ref_=nv_mv_250,156. Mencari Nemo,2003,1h 40m,17+,8.2 (1.1M)
1718454606-157,https://www.imdb.com/chart/top/?ref_=nv_mv_250,157. Prisoners,2013,2h 33m,7+,8.2 (816K)
1718454606-158,https://www.imdb.com/chart/top/?ref_=nv_mv_250,158. Hauru no ugoku shiro,2004,1h 59m,Not Rated,8.2 (453K)
1718454606-159,https://www.imdb.com/chart/top/?ref_=nv_mv_250,159. Rashômon,1950,1h 28m,PG,8.2 (181K)
1718454606-160,https://www.imdb.com/chart/top/?ref_=nv_mv_250,160. The Elephant Man,1980,2h 4m,PG,8.2 (259K)
1718454606-161,https://www.imdb.com/chart/top/?ref_=nv_mv_250,161. Dial M for Murder,1954,1h 45m,R,8.2 (190K)
1718454606-162,https://www.imdb.com/chart/top/?ref_=nv_mv_250,162. Chinatown,1974,2h 10m,G,8.1 (351K)
1718454606-163,https://www.imdb.com/chart/top/?ref_=nv_mv_250,163. Gone with the Wind,1939,3h 58m,R,8.2 (336K)
1718454606-164,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"164. Lock, Stock and Two Smoking Barrels",1998,1h 47m,D,8.1 (619K)
1718454606-165,https://www.imdb.com/chart/top/?ref_=nv_mv_250,165. V for Vendetta,2005,2h 12m,R,8.2 (1.2M)
1718454606-166,https://www.imdb.com/chart/top/?ref_=nv_mv_250,166. El secreto de sus ojos,2009,2h 9m,R,8.2 (223K)
1718454606-167,https://www.imdb.com/chart/top/?ref_=nv_mv_250,167. Masuk Keluar,2015,1h 35m,R,8.1 (793K)
1718454606-168,https://www.imdb.com/chart/top/?ref_=nv_mv_250,168. Raging Bull,1980,2h 9m,21,8.1 (382K)
1718454606-169,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"169. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,21,8.1 (558K)
1718454606-170,https://www.imdb.com/chart/top/?ref_=nv_mv_250,170. Trainspotting,1996,1h 33m,PG,8.1 (728K)
1718454606-171,https://www.imdb.com/chart/top/?ref_=nv_mv_250,171. The Bridge on the River Kwai,1957,2h 41m,7+,8.1 (234K)
1718454606-172,https://www.imdb.com/chart/top/?ref_=nv_mv_250,172. Klaus,2019,1h 36m,R,8.2 (191K)
1718454606-173,https://www.imdb.com/chart/top/?ref_=nv_mv_250,173. Fargo,1996,1h 38m,16+,8.1 (730K)
1718454606-174,https://www.imdb.com/chart/top/?ref_=nv_mv_250,174. Catch Me If You Can,2002,2h 21m,SU,8.1 (1.1M)
1718454606-175,https://www.imdb.com/chart/top/?ref_=nv_mv_250,175. Spider-Man: No Way Home,2021,2h 28m,13+,8.2 (888K)
1718454606-176,https://www.imdb.com/chart/top/?ref_=nv_mv_250,176. Warrior,2011,2h 20m,R,8.1 (500K)
1718454606-177,https://www.imdb.com/chart/top/?ref_=nv_mv_250,177. Gran Torino,2008,1h 56m,13+,8.1 (818K)
1718454606-178,https://www.imdb.com/chart/top/?ref_=nv_mv_250,178. Harry Potter dan Relikui Kematian Bagian ke-2,2011,2h 10m,PG-13,8.1 (953K)
1718454606-179,https://www.imdb.com/chart/top/?ref_=nv_mv_250,179. Million Dollar Baby,2004,2h 12m,SU,8.1 (724K)
1718454606-180,https://www.imdb.com/chart/top/?ref_=nv_mv_250,180. Tonari no Totoro,1988,1h 26m,21,8.1 (383K)
1718454606-181,https://www.imdb.com/chart/top/?ref_=nv_mv_250,181. Bacheha-Ye aseman,1997,1h 29m,R,8.2 (81K)
1718454606-182,https://www.imdb.com/chart/top/?ref_=nv_mv_250,182. 12 Years a Slave,2013,2h 14m,G,8.1 (744K)
1718454606-183,https://www.imdb.com/chart/top/?ref_=nv_mv_250,183. Ben-Hur,1959,3h 32m,R,8.1 (255K)
1718454606-184,https://www.imdb.com/chart/top/?ref_=nv_mv_250,184. Blade Runner,1982,1h 57m,R,8.1 (826K)
1718454606-185,https://www.imdb.com/chart/top/?ref_=nv_mv_250,185. Before Sunrise,1995,1h 41m,PG,8.1 (342K)
1718454606-186,https://www.imdb.com/chart/top/?ref_=nv_mv_250,186. Barry Lyndon,1975,3h 5m,17+,8.1 (184K)
1718454606-187,https://www.imdb.com/chart/top/?ref_=nv_mv_250,187. The Grand Budapest Hotel,2014,1h 39m,16+,8.1 (891K)
1718454606-188,https://www.imdb.com/chart/top/?ref_=nv_mv_250,188. Mad Max: Fury Road,2015,2h,R,8.1 (1.1M)
1718454606-189,https://www.imdb.com/chart/top/?ref_=nv_mv_250,189. Gone Girl,2014,2h 29m,18+,8.1 (1.1M)
1718454606-190,https://www.imdb.com/chart/top/?ref_=nv_mv_250,190. Hacksaw Ridge,2016,2h 19m,Approved,8.1 (600K)
1718454606-191,https://www.imdb.com/chart/top/?ref_=nv_mv_250,191. The Gold Rush,1925,1h 35m,13+,8.1 (119K)
1718454606-192,https://www.imdb.com/chart/top/?ref_=nv_mv_250,192. Dead Poets Society,1989,2h 8m,Not Rated,8.1 (551K)
1718454606-193,https://www.imdb.com/chart/top/?ref_=nv_mv_250,193. Salinui chueok,2003,2h 11m,R,8.1 (219K)
1718454606-194,https://www.imdb.com/chart/top/?ref_=nv_mv_250,194. In the Name of the Father,1993,2h 13m,R,8.1 (188K)
1718454606-195,https://www.imdb.com/chart/top/?ref_=nv_mv_250,195. Relatos salvajes,2014,2h 2m,D,8.1 (218K)
1718454606-196,https://www.imdb.com/chart/top/?ref_=nv_mv_250,196. The Deer Hunter,1978,3h 3m,R,8.1 (364K)
1718454606-197,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"197. Monsters, Inc.",2001,1h 32m,Passed,8.1 (984K)
1718454606-198,https://www.imdb.com/chart/top/?ref_=nv_mv_250,198. The General,1926,1h 18m,Approved,8.1 (99K)
1718454606-199,https://www.imdb.com/chart/top/?ref_=nv_mv_250,199. On the Waterfront,1954,1h 48m,Passed,8.1 (166K)
1718454606-200,https://www.imdb.com/chart/top/?ref_=nv_mv_250,200. Sherlock Jr.,1924,45m,R13+,8.2 (58K)
1718454606-201,https://www.imdb.com/chart/top/?ref_=nv_mv_250,201. How to Train Your Dragon,2010,1h 38m,PG,8.1 (805K)
1718454606-202,https://www.imdb.com/chart/top/?ref_=nv_mv_250,202. Jaws,1975,2h 4m,Approved,8.1 (664K)
1718454606-203,https://www.imdb.com/chart/top/?ref_=nv_mv_250,203. The Third Man,1949,1h 44m,Not Rated,8.1 (183K)
1718454606-204,https://www.imdb.com/chart/top/?ref_=nv_mv_250,204. Le salaire de la peur,1953,2h 11m,Not Rated,8.1 (67K)
1718454606-205,https://www.imdb.com/chart/top/?ref_=nv_mv_250,205. Mary and Max.,2009,1h 32m,17+,8.1 (187K)
1718454606-206,https://www.imdb.com/chart/top/?ref_=nv_mv_250,206. Smultronstället,1957,1h 31m,R,8.1 (116K)
1718454606-207,https://www.imdb.com/chart/top/?ref_=nv_mv_250,207. Ratatouille,2007,1h 51m,Approved,8.1 (831K)
1718454606-208,https://www.imdb.com/chart/top/?ref_=nv_mv_250,208. Mr. Smith Goes to Washington,1939,2h 9m,13+,8.1 (122K)
1718454606-209,https://www.imdb.com/chart/top/?ref_=nv_mv_250,209. Ford v Ferrari,2019,2h 32m,Not Rated,8.1 (482K)
1718454606-210,https://www.imdb.com/chart/top/?ref_=nv_mv_250,210. Tôkyô monogatari,1953,2h 16m,R,8.1 (69K)
1718454606-211,https://www.imdb.com/chart/top/?ref_=nv_mv_250,211. The Big Lebowski,1998,1h 57m,17+,8.1 (864K)
1718454606-212,https://www.imdb.com/chart/top/?ref_=nv_mv_250,212. Det sjunde inseglet,1957,1h 36m,13+,8.1 (199K)
1718454606-213,https://www.imdb.com/chart/top/?ref_=nv_mv_250,213. Room,2015,1h 58m,PG,8.1 (453K)
1718454606-214,https://www.imdb.com/chart/top/?ref_=nv_mv_250,214. Rocky,1976,2h,17+,8.1 (632K)
1718454606-215,https://www.imdb.com/chart/top/?ref_=nv_mv_250,215. Logan,2017,2h 17m,13+,8.1 (837K)
1718454606-216,https://www.imdb.com/chart/top/?ref_=nv_mv_250,216. Spotlight,2015,2h 9m,D,8.1 (504K)
